COD_DISCIPLINA,NOME_DISCIPLINA,COD_CURSO,MULTIPLA_ESCOLHA,CURSO,IDPROGRAMA,SETOR_CURSO
SLSO502,"PLANEJAMENTO, MONITORAMENTO E AVALIAÇÃO DE POLÍTICAS PÚBLICAS SOCIAIS",40001016138G0,Não,SERVIÇO SOCIAL  - Presencial - Matinhos,40001016138G0,SETOR LITORAL
SLSO504,ESTÁGIO CURRICULAR OBRIGATÓRIO EM SERVIÇO SOCIAL I,40001016138G0,Não,SERVIÇO SOCIAL  - Presencial - Matinhos,40001016138G0,SETOR LITORAL
BF076,RITMOS BIOLÓGICOS,40001016009G0,Não,BIOMEDICINA  - Presencial - Curitiba,40001016009G0,SETOR DE CIÊNCIAS BIOLÓGICAS
DV177,TÓPICOS EXTENSÃO,40001016021G0,Não,DIREITO  - Presencial - Curitiba,40001016021G0,SETOR DE CIÊNCIAS JURÍDICAS
BT026,DETECÇÃO PRECOCE E INTERVENÇÃO BREVE NO ABUSO DE DROGAS,40001016012G0,Não,CIÊNCIAS BIOLÓGICAS  - Presencial - Curitiba,40001016012G0,SETOR DE CIÊNCIAS BIOLÓGICAS
DBC133,GENÉTICA DE POPULAÇÕES,40001016012G0,Não,CIÊNCIAS BIOLÓGICAS  - Presencial - Curitiba,40001016012G0,SETOR DE CIÊNCIAS BIOLÓGICAS
ET197,EDUCAÇÃO E RELAÇÕES RACIAIS,40001016082G0,Não,PEDAGOGIA  - Presencial - Curitiba,40001016082G0,SETOR DE EDUCAÇÃO
BF118,FISIOLOGIA PARA BIOMEDICINA II,40001016009G0,Não,BIOMEDICINA  - Presencial - Curitiba,40001016009G0,SETOR DE CIÊNCIAS BIOLÓGICAS
BP216,PATOLOGIA MOLECULAR HUMANA,40001016009G0,Não,BIOMEDICINA  - Presencial - Curitiba,40001016009G0,SETOR DE CIÊNCIAS BIOLÓGICAS
BT073,FARMACOLOGIA BIOMÉDICA I,40001016009G0,Não,BIOMEDICINA  - Presencial - Curitiba,40001016009G0,SETOR DE CIÊNCIAS BIOLÓGICAS
CI1169,BIOINFORMÁTICA,40001016009G0,Não,BIOMEDICINA  - Presencial - Curitiba,40001016009G0,SETOR DE CIÊNCIAS BIOLÓGICAS
MS131,EPIDEMIOLOGIA PARA BIOMEDICINA,40001016009G0,Não,BIOMEDICINA  - Presencial - Curitiba,40001016009G0,SETOR DE CIÊNCIAS BIOLÓGICAS
